"nemotecnico","run","clase"
"CFMBICVLRE","8902","RF Nacional"
"CFMBICVLRF","8902","RF Nacional"
"CFMBICVLRI","8902","RF Nacional"
"CFMBICVNGA","8142","RV Nacional"
"CFMBICVNGB","8142","RV Nacional"
"CFMBICVNGC","8142","RV Nacional"
"CFMBICVNGF","8142","RV Nacional"
"CFMBICVNGI","8142","RV Nacional"
"CFMBIDINSA","9693","RF Nacional"
"CFMBIDINSB","9693","RF Nacional"
"CFMBIDINSC","9693","RF Nacional"
"CFMBIDINSD","9693","RF Nacional"
"CFMBIDINSI","9693","RF Nacional"
"CFMBILIQSA","9690","RF Nacional"
"CFMBILIQSB","9690","RF Nacional"
"CFMBILIQSC","9690","RF Nacional"
"CFMBILIQSD","9690","RF Nacional"
"CFMBILIQSG","9690","RF Nacional"
"CFMBILIQSI","9690","RF Nacional"
"CFMBIMASSA","9692","RF Nacional"
"CFMBIMASSB","9692","RF Nacional"
"CFMBIMASSC","9692","RF Nacional"
"CFMBIMASSD","9692","RF Nacional"
"CFMBIMASSE","9692","RF Nacional"
"CFMBIMASSG","9692","RF Nacional"
"CFMBIMASSI","9692","RF Nacional"
"CFMBNSACAS","8289","RV Nacional"
"CFMBNSACCL","8289","RV Nacional"
"CFMBNSACCO","8289","RV Nacional"
"CFMBNSACPA","8289","RV Nacional"
"CFMBNSACWB","8289","RV Nacional"
"CFMBNSACWH","8289","RV Nacional"
"CFMBNSAEAP","8484","RV Nacional"
"CFMBNSAECL","8484","RV Nacional"
"CFMBNSAEWB","8484","RV Nacional"
"CFMBNSAEWH","8484","RV Nacional"
"CFMBNSASAP","8822","RV Nacional"
"CFMBNSASCL","8822","RV Nacional"
"CFMBNSASWB","8822","RV Nacional"
"CFMBNSASWH","8822","RV Nacional"
"CFMBNSAUAP","8480","RV Nacional"
"CFMBNSAUCL","8480","RV Nacional"
"CFMBNSAUWB","8480","RV Nacional"
"CFMBNSAUWE","8480","RV Nacional"
"CFMBNSCLAF","8049","RF Nacional"
"CFMBNSCLIB","8049","RF Nacional"
"CFMBNSCMAP","8857","RV Nacional"
"CFMBNSCMCL","8857","RV Nacional"
"CFMBNSCMWB","8857","RV Nacional"
"CFMBNSDCAP","8991","RF Nacional"
"CFMBNSDCCL","8991","RF Nacional"
"CFMBNSDCHC","9021","RF Nacional"
"CFMBNSDCHH","9021","RF Nacional"
"CFMBNSDCHP","9021","RF Nacional"
"CFMBNSDCHW","9021","RF Nacional"
"CFMBNSDCWB","8991","RF Nacional"
"CFMBNSDCWE","8991","RF Nacional"
"CFMBNSDLAP","8244","RF Nacional"
"CFMBNSDLCL","8244","RF Nacional"
"CFMBNSDLPC","9154","RF Nacional"
"CFMBNSDLPH","9154","RF Nacional"
"CFMBNSDLPP","9154","RF Nacional"
"CFMBNSDLPV","9154","RF Nacional"
"CFMBNSDLPW","9154","RF Nacional"
"CFMBNSDMAP","8292","RF Nacional"
"CFMBNSDMCL","8292","RF Nacional"
"CFMBNSDMUC","8106","RF Nacional"
"CFMBNSDMUH","8106","RF Nacional"
"CFMBNSDMUP","8106","RF Nacional"
"CFMBNSDMUW","8106","RF Nacional"
"CFMBNSDMWB","8292","RF Nacional"
"CFMBNSDMWH","8292","RF Nacional"
"CFMBNSDOLA","8238","RF Nacional"
"CFMBNSMMDI","8238","RF Nacional"
"CFMBNSMMDL","8238","RF Nacional"
"CFMBNSMMDM","8238","RF Nacional"
"CFMBNSMMII","8049","RF Nacional"
"CFMBNSMMLA","8049","RF Nacional"
"CFMBNSMMSM","8049","RF Nacional"
"CFMBNSPMAP","8741","Balanceados Nacional"
"CFMBNSPMAS","8741","Balanceados Nacional"
"CFMBNSPMCC","8304","RF Nacional"
"CFMBNSPMCH","8304","RF Nacional"
"CFMBNSPMCL","8741","Balanceados Nacional"
"CFMBNSPMCP","8304","RF Nacional"
"CFMBNSPMCS","8304","RF Nacional"
"CFMBNSPMCW","8304","RF Nacional"
"CFMBNSPMVI","8741","Balanceados Nacional"
"CFMBNSPMVV","8741","Balanceados Nacional"
"CFMBNSPMWB","8741","Balanceados Nacional"
"CFMBNSPMWE","8741","Balanceados Nacional"
"CFMBNSRDAP","8367","RF Nacional"
"CFMBNSRDCL","8367","RF Nacional"
"CFMBNSRDWE","8367","RF Nacional"
"CFMBNSREAP","8604","RV Nacional"
"CFMBNSRECL","8604","RV Nacional"
"CFMBNSREWB","8604","RV Nacional"
"CFMBNSREWE","8604","RV Nacional"
"CFMBNSSLAP","8187","RF Nacional"
"CFMBNSSLAS","8187","RF Nacional"
"CFMBNSSLCL","8187","RF Nacional"
"CFMBNSSLWB","8187","RF Nacional"
"CFMBNSSLWE","8187","RF Nacional"
"CFMBOTCRPC","8234","RF Nacional"
"CFMBTGACDC","8205","RV Nacional"
"CFMBTGACLD","8206","RV Nacional"
"CFMBTGACLI","8206","RV Nacional"
"CFMBTGACLX","8206","RV Nacional"
"CFMBTGAUSF","8205","RV Nacional"
"CFMBTGGACF","9006","Balanceados Nacional"
"CFMBTGGADC","9006","Balanceados Nacional"
"CFMBTGGDDC","9005","RV Nacional"
"CFMBTGGEDC","9024","RV Nacional"
"CFMBTGMMBT","8202","RF Nacional"
"CFMBTGMMDF","8618","RF Nacional"
"CFMBTGMMKD","8202","RF Nacional"
"CFMBTGMOMF","8202","RF Nacional"
"CFMBTGRACF","8950","RF Nacional"
"CFMBTGRADC","8203","RF Nacional"
"CFMBTGRCBT","8203","RF Nacional"
"CFMBTGRCHD","8203","RF Nacional"
"CFMBTGRIDC","9209","RF Nacional"
"CFMBTGRINA","9209","RF Nacional"
"CFMBTGRINB","9209","RF Nacional"
"CFMBTGRINC","9209","RF Nacional"
"CFMBTGRINF","9209","RF Nacional"
"CFMBTGRINI","9209","RF Nacional"
"CFMBTGRLBG","8897","RF Nacional"
"CFMBTGRLOD","8897","RF Nacional"
"CFMBTGRNBT","8358","RF Nacional"
"CFMBTGRNOD","8358","RF Nacional"
"CFMBTGRPBT","8932","RF Nacional"
"CFMBTGRPLD","8932","RF Nacional"
"CFMCCCLIGA","9365","RF Nacional"
"CFMCCCLIGB","9365","RF Nacional"
"CFMCCCLIGI","9365","RF Nacional"
"CFMCCCLIGU","9365","RF Nacional"
"CFMCCCLIIM","9365","RF Nacional"
"CFMCCCMONF","8945","RF Nacional"
"CFMCCCRESB","8421","RF Nacional"
"CFMCCCRESI","8421","RF Nacional"
"CFMCCCRESM","8421","RF Nacional"
"CFMCCCRSAC","8421","RF Nacional"
"CFMCCDEUAC","9056","RF Nacional"
"CFMCCDEUTY","9056","RF Nacional"
"CFMCCESTRA","8982","RV Nacional"
"CFMCCESTRB","8982","RV Nacional"
"CFMCCESTRC","8982","RV Nacional"
"CFMCCESTRE","8982","RV Nacional"
"CFMCCESTRI","8982","RV Nacional"
"CFMCCESTRM","8982","RV Nacional"
"CFMCCGLOAC","8427","RV Nacional"
"CFMCCGLOBB","8427","RV Nacional"
"CFMCCGLOBE","8427","RV Nacional"
"CFMCCGLOBI","8427","RV Nacional"
"CFMCCGLOCC","8427","RV Nacional"
"CFMCCGLOIM","8427","RV Nacional"
"CFMCCINTAC","8442","RF Nacional"
"CFMCCLIQAC","8401","RF Nacional"
"CFMCCLIQCC","8401","RF Nacional"
"CFMCCLIQTY","8401","RF Nacional"
"CFMCCMONAC","8945","RF Nacional"
"CFMCCMONCC","8945","RF Nacional"
"CFMCCMONMB","8945","RF Nacional"
"CFMCCMONMI","8945","RF Nacional"
"CFMCCMONMM","8945","RF Nacional"
"CFMCCRINIM","8442","RF Nacional"
"CFMCCRINTB","8442","RF Nacional"
"CFMCCRINTE","8442","RF Nacional"
"CFMCFNAEMB","8206","RV Nacional"
"CFMCFNAINB","8205","RV Nacional"
"CFMCFNAINI","8205","RV Nacional"
"CFMCFNCLAB","8898","RV Nacional"
"CFMCFNGACA","9006","Balanceados Nacional"
"CFMCFNGACB","9006","Balanceados Nacional"
"CFMCFNGACC","9006","Balanceados Nacional"
"CFMCFNGACI","9006","Balanceados Nacional"
"CFMCFNGADG","9006","Balanceados Nacional"
"CFMCFNGDEB","9005","RV Nacional"
"CFMCFNGDEI","9005","RV Nacional"
"CFMCFNGEMB","9024","RV Nacional"
"CFMCFNGEMI","9024","RV Nacional"
"CFMCFNMMKA","8202","RF Nacional"
"CFMCFNMMKI","8202","RF Nacional"
"CFMCFNRACA","8950","RF Nacional"
"CFMCFNRACB","8950","RF Nacional"
"CFMCFNRACC","8950","RF Nacional"
"CFMCFNRACI","8950","RF Nacional"
"CFMCFNRCHA","8203","RF Nacional"
"CFMCFNRCHB","8203","RF Nacional"
"CFMCFNRCHI","8203","RF Nacional"
"CFMCFNREMA","8207","RF Nacional"
"CFMCFNREMB","8207","RF Nacional"
"CFMCFNREMI","8207","RF Nacional"
"CFMCFNREPA","8932","RF Nacional"
"CFMCFNREPB","8932","RF Nacional"
"CFMCFNREPI","8932","RF Nacional"
"CFMCFNRETA","8575","RV Nacional"
"CFMCFNRETB","8575","RV Nacional"
"CFMCFNRETC","8575","RV Nacional"
"CFMCFNRETI","8575","RV Nacional"
"CFMCFNRINA","8618","RF Nacional"
"CFMCFNRINB","8618","RF Nacional"
"CFMCFNRINI","8618","RF Nacional"
"CFMCFNRLOA","8897","RF Nacional"
"CFMCFNRLOB","8897","RF Nacional"
"CFMCFNRLOI","8897","RF Nacional"
"CFMCFNRNOA","8358","RF Nacional"
"CFMCFNRNOB","8358","RF Nacional"
"CFMCFNRNOI","8358","RF Nacional"
"CFMCGACHA","9362","RV Nacional"
"CFMCGACHB","9362","RV Nacional"
"CFMCGACHC","9362","RV Nacional"
"CFMCGACHD","9362","RV Nacional"
"CFMCGACHH","9362","RV Nacional"
"CFMCHAF","8898","RV Nacional"
"CFMCNSALPA","8375","RF Nacional"
"CFMCNSALPL","8375","RF Nacional"
"CFMCNSRLPF","8375","RF Nacional"
"CFMCNSRLPP","8375","RF Nacional"
"CFMCOREFM1","8092","RF Nacional"
"CFMCOREFM2","8092","RF Nacional"
"CFMCOREFM3","8092","RF Nacional"
"CFMCOREFM4","8092","RF Nacional"
"CFMCOREFM5","8092","RF Nacional"
"CFMCORMIOV","8620","RF Nacional"
"CFMCORMPF4","8620","RF Nacional"
"CFMCORMPF5","8620","RF Nacional"
"CFMDIAGREA","9428","Balanceados Nacional"
"CFMDIAGREF","9428","Balanceados Nacional"
"CFMDIAGREP","9428","Balanceados Nacional"
"CFMDIBALAA","9429","Balanceados Nacional"
"CFMDIBALAF","9429","Balanceados Nacional"
"CFMDIBALAP","9429","Balanceados Nacional"
"CFMDICONSA","9430","Balanceados Nacional"
"CFMDICONSF","9430","Balanceados Nacional"
"CFMDICRECA","9431","Balanceados Nacional"
"CFMDICRECF","9431","Balanceados Nacional"
