"RUT","Nemotecnico","Nombre","Tipo.de.Activo","Tipo de Activo"
"8338","CFMITASEM2","FONDO MUTUO ITAU SELECT","Money Market",NA
"8338","CFMITASEM6","FONDO MUTUO ITAU SELECT","Money Market",NA
"8338","CFMITASELS","FONDO MUTUO ITAU SELECT","Money Market",NA
"8338","CFMITASEIT","FONDO MUTUO ITAU SELECT","Money Market",NA
"8234","CFMITACNM1","FONDO MUTUO ITAU SELECT PLUS","Money Market",NA
"8234","CFMBOTCRPC","FONDO MUTUO ITAU SELECT PLUS","Money Market",NA
"9936","CFMITATEF1","FONDO MUTUO ITAU TOESCA CHILE EQUITIES","Renta Variable",NA
"9936","CFMITATEF3","FONDO MUTUO ITAU TOESCA CHILE EQUITIES","Renta Variable",NA
"9936","CFMITATEIT","FONDO MUTUO ITAU TOESCA CHILE EQUITIES","Renta Variable",NA
"9936","CFMITATEF2","FONDO MUTUO ITAU TOESCA CHILE EQUITIES","Renta Variable",NA
"8479","CFMITATUF1","FONDO MUTUO ITAU TOP USA","Renta Variable",NA
"8479","CFMITATUF2","FONDO MUTUO ITAU TOP USA","Renta Variable",NA
"8479","CFMITATUF3","FONDO MUTUO ITAU TOP USA","Renta Variable",NA
"8479","CFMITATUF5","FONDO MUTUO ITAU TOP USA","Renta Variable",NA
"8479","CFMITATUF4","FONDO MUTUO ITAU TOP USA","Renta Variable",NA
"8479","CFMITATUIT","FONDO MUTUO ITAU TOP USA","Renta Variable",NA
"8479","CFMITTUSAS","FONDO MUTUO ITAU TOP USA","Renta Variable",NA
"9201","CFMITAUPF5","FONDO MUTUO ITAU UF PLUS","Renta Fija",NA
"9201","CFMITADUIT","FONDO MUTUO ITAU UF PLUS","Renta Fija",NA
"9201","CFMITAUPF4","FONDO MUTUO ITAU UF PLUS","Renta Fija",NA
"9201","CFMITAUPAP","FONDO MUTUO ITAU UF PLUS","Renta Fija",NA
"9932","CFMITAUAF1","FONDO MUTUO ITAU US ADVANTAGE","Renta Variable",NA
"9932","CFMITAUAF2","FONDO MUTUO ITAU US ADVANTAGE","Renta Variable",NA
"9932","CFMITAUAF3","FONDO MUTUO ITAU US ADVANTAGE","Renta Variable",NA
"9932","CFMITAUAIT","FONDO MUTUO ITAU US ADVANTAGE","Renta Variable",NA
"8799","CFMITABAF1","FONDO MUTUO ITAÚ BRASIL ACTIVO","Renta Variable",NA
"8799","CFMITABAF5","FONDO MUTUO ITAÚ BRASIL ACTIVO","Renta Variable",NA
"8799","CFMITABAF2","FONDO MUTUO ITAÚ BRASIL ACTIVO","Renta Variable",NA
"8799","CFMITABAF3","FONDO MUTUO ITAÚ BRASIL ACTIVO","Renta Variable",NA
"8799","CFMITABAF4","FONDO MUTUO ITAÚ BRASIL ACTIVO","Renta Variable",NA
"8799","CFMITABAIT","FONDO MUTUO ITAÚ BRASIL ACTIVO","Renta Variable",NA
"8333","CFMITACDM5","FONDO MUTUO ITAÚ CASH DOLLAR","Money Market",NA
